"Name","ID","Enabled","EnabledIOS","EnabledAndroid","EnabledKunlun","EnabledLowEnd","EnabledHighEnd","Type","ShowAsNew","TID","InfoTID","ButtonTID","ButtonURL","NativeIOSURL","NativeAndroidURL","ActionType","IncludedLanguages","ExcludedLanguages","IncludedCountries","ExcludedCountries","IncludedLoginCountries","ExcludedLoginCountries","CenterText","LoadResources","LoadInLowEnd","ItemSWF","ItemExportName","IconSWF","IconExportName","IconFrame","AnimateIcon","CenterIcon","MinTownHall","MaxTownHall","MinLevel","MaxLevel","MaxDiamonds","ClickToDismiss","NotifyAlways","NotifyMinLevel","AvatarIdModulo","ModuloMin","ModuloMax","Collapsed","MinOS","MaxOS","ButtonTID2","ButtonURL2","NativeIOSURL2","NativeAndroidURL2","ActionType2"
"String","int","Boolean","Boolean","Boolean","Boolean","Boolean","Boolean","String","Boolean","String","String","String","String","String","String","String","String","String","String","String","String","String","Boolean","Boolean","Boolean","String","String","String","String","Int","Boolean","Boolean","int","int","int","int","int","Boolean","Boolean","int","int","int","int","Boolean","String","String","String","String","String","String","String"
"UpdateTroopMaint",1,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","maintenance_1","TRUE","TID_MAINTENANCE_UPDATE_TITLE","TID_MAINTENANCE_UPDATE_TEXT","TID_NEWS_BUTTON_GO","http://www.clashofclans.com",,,,,,,,,,"FALSE","FALSE","FALSE",,,"sc/characters.sc","BoarRider4_Run1_3",0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,,,,,
"ScrollMaint",2,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","maintenance_2","TRUE","TID_MAINTENANCE_NORMAL_TITLE","TID_MAINTENANCE_NORMAL_TEXT","TID_NEWS_ROYALE_BUTTON","itms-apps://itunes.apple.com/app/clash-royale/id1053012308?mt=8","fb1475268786112433://","clashroyale://",,,,,,,,"FALSE","FALSE","FALSE",,,,,0,"TRUE","TRUE",,,10,,0,"FALSE",,,,,,,"7.0",,,,,,
"Clashcom",20,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_CLASH_COM","TID_NEWS_BUTTON_GO","http://www.clashofclans.com",,,,,,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","forums_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Facebook",1,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","http://www.facebook.com/447775968580065",,,,,"KR",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"CNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FacebookKR",2,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","http://www.facebook.com/520353058081714",,,,"KR",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"FacebookJP",3,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","http://www.facebook.com/441860209254166",,,,"JP",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"FacebookCNT",3,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","https://www.facebook.com/ClashofClansTW",,,,"CNT",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Twitter",4,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_TWITTER","TID_NEWS_BUTTON_GO","https://twitter.com/ClashofClans","twitter://user?screen_name=ClashofClans",,,,"JP",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","twitter_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"CNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TwitterJP",5,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_TWITTER","TID_NEWS_BUTTON_GO","https://twitter.com/ClashofClansJP","twitter://user?screen_name=ClashofClansJP",,,"JP",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","twitter_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Youtube",6,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_YOUTUBE","TID_NEWS_BUTTON_GO","http://www.youtube.com/OfficialClashOfClans","youtube://user/OfficialClashOfClans",,,,"CN",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","youtube_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YoutubeKR",7,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_YOUTUBE","TID_NEWS_BUTTON_GO","https://www.youtube.com/clashofclanskorea","youtube://user/clashofclanskorea",,,"KR",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","youtube_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"YoutubeJP",8,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_YOUTUBE","TID_NEWS_BUTTON_GO","https://www.youtube.com/user/ClashofClansJapan","youtube://user/ClashofClansJapan",,,"JP",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","youtube_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"WeChatSubscription",137,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_WECHAT","TID_NEWS_BUTTON_GO","http://mp.weixin.qq.com/s?__biz=MzAxODU3MTYxNg==&mid=207763227&idx=1&sn=ce8f28ca78161e7bd3b9cb5f51c7ec86#rd",,,,"CN",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","wechat_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"WeChatService",137,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_WECHAT_SERVICE","TID_NEWS_BUTTON_GO","http://mp.weixin.qq.com/s?__biz=MzA4Mjk1NTU2Nw==&mid=210540000&idx=1&sn=c99e2a796806628b6fe9af457185d814#rd",,,,"CN",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","wechat_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Weibo",9,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_WEIBO","TID_NEWS_BUTTON_GO","http://m.weibo.cn/d/coc365",,,,"CN",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","weibo_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Youku",11,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_YOUKU","TID_NEWS_BUTTON_GO","http://i.youku.com/coc365",,,,"CN",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","youku_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Instagram",12,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_INSTAGRAM","TID_NEWS_BUTTON_GO","http://instagram.com/clashofclans",,,,,"CN",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","instagram_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitch",13,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_TWITCH","TID_NEWS_BUTTON_GO","http://www.twitch.tv/directory/game/Clash%20of%20Clans",,,,,"CN",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","twitchglitch_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HungryApp",14,"TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_HUNGRYAPP","TID_NEWS_BUTTON_GO","http://www.hungryapp.co.kr/bbs/list.php?bcode=coc",,,,"KR",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","hungryapp_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Forums",10,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","more","FALSE",,"TID_MORE_FORUMS","TID_NEWS_BUTTON_GO","http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans",,,,,"KR",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","forums_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safeguard",85,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT","TID_GOOGLE_SERVICE_SIGN_IN",,,,"OpenGC",,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gc",,,0,"FALSE","FALSE",,,,,,,,,,,,,"7.0",,,,,,
"SafeguardIOS6",87,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT","TID_GOOGLE_SERVICE_SIGN_IN",,,,"OpenGC",,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gc6",,,0,"FALSE","FALSE",,,,,,,,,,,,,,"7.0",,,,,
"SpecialAccountTransfer",1,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_ACCOUNT_TRANSFER","TID_NEWS_ACCOUNT_TRANSFER_TEXT","TID_GOOGLE_PLAY_KUNLUN_TUTORIAL_BUTTON","https://coc.kunlun.com/att/index.html",,,"AccountTransfer",,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic","sc/ui.sc","account_transfer_news_item",0,"TRUE","FALSE",,,0,,0,"FALSE","TRUE",0,,,,,,,,,,,
"SafeguardAndroid",86,"TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_SAFEGUARD_TITLE","TID_NEWS_SAFEGUARD_TEXT_ANDROID","TID_GOOGLE_SERVICE_SIGN_IN",,,,"OpenG+",,,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_gplus",,,0,"FALSE","FALSE",,,,,,,,,,,,,,,,,,,
"UpgradeYourOS",106,"FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","news","TRUE","TID_NEWS_UPGRADE_OS_TITLE","TID_NEWS_UPGRADE_OS_TEXT","TID_NEWS_UPGRADE_OS_MORE","http://support.apple.com/HT204204",,,,"EN",,,,,,"FALSE","FALSE","FALSE","sc/ui.sc","news_entry_dynamic_ios","sc/ui.sc",,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,"5.1.1",,,,,
,,,,,,,,,,,,,"http://support.apple.com/fr-fr/ht4623",,,,"FR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/de-de/ht4623",,,,"DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/nl-nl/HT4623",,,,"NL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/ja-jp/ht4623",,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/pt-br/ht4623",,,,"PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/es-es/ht4623",,,,"ES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/it-it/HT4623",,,,"IT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/no-no/ht4623",,,,"NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/tr-tr/HT4623",,,,"TR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/zh-cn/HT4623",,,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/ko-kr/HT4623",,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"http://support.apple.com/ru-ru/HT4623",,,,"RU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merch",335,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_MERCH_TITLE","TID_NEWS_MERCH_TEXT","TID_NEWS_MERCH_BUTTON","https://shop.supercell.com/",,,,"EN",,,,"US",,"FALSE","TRUE","TRUE","sc/news.sc","news_entry_shop",,,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICC",331,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_ICC_TITLE","TID_NEWS_ICC_TEXT","TID_NEWS_VIDEO_BUTTON","https://youtu.be/H8iozQTszF8",,,,,"JP",,,,,"FALSE","TRUE","TRUE","sc/news.sc","news_entry_icc",,,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"KR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICC_AS",332,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_ICC_TITLE","TID_NEWS_ICC_TEXT","TID_NEWS_VIDEO_BUTTON","http://supr.cl/ICC_korean",,,,"KR",,,,,,"FALSE","TRUE","TRUE","sc/news.sc","news_entry_icc",,,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,"http://v.youku.com/v_show/id_XMjY5Mjg3NjAwOA==.html",,,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CwBdGifts",330,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_CW_BD_GIFTS_TITLE","TID_NEWS_CW_BD_GIFTS_TEXT","TID_RED_NEWS_BUY",,,,"OpenGemShop",,,,,,,"FALSE","TRUE","TRUE","sc/news.sc","gifts_news_item",,,0,"TRUE","TRUE",,,0,,0,"FALSE",,,,,,,,,,,,,
"March2017Update",330,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","news","TRUE","TID_NEWS_MARCH_2017_UPDATE_TITLE","TID_NEWS_MARCH_2017_UPDATE_TEXT","TID_NEWS_UPGRADE_OS_MORE","http://supr.cl/march17_en",,,,"EN",,,,,,"FALSE","TRUE","TRUE","sc/news.sc","AirDefence_news_item",,,0,"FALSE","TRUE",,,0,,0,"FALSE",,,,,,,,,,,,,
